Temperature    Energy         Energy2        Magnetization  Magnetization2 Heat Capacity  Susceptibility 
4.23           -0.92444444    1.9911111      0.64444444     0.56222222     0.25407029     0.13892537     
4.24           -0.98666667    2.0444444      0.66444444     0.58333333     0.23828171     0.13381784     
4.25           -0.99555556    2.0622222      0.68444444     0.59555556     0.2371967      0.1196154      
4.26           -0.89333333    1.8577778      0.63666667     0.54611111     0.23358093     0.13217527     
4.27           -1.0577778     2.2222222      0.68444444     0.61333333     0.2420522      0.13570879     
4.28           -0.88888889    1.8488889      0.62222222     0.53777778     0.23119168     0.14076382     
4.29           -1.0577778     2.24           0.70555556     0.625          0.24366444     0.11859334     
4.3            -1.0577778     2.1688889      0.68777778     0.61166667     0.22714874     0.12895665     
4.31           -1             2.1066667      0.67444444     0.59388889     0.23829903     0.12901492     
4.32           -0.88888889    1.8844444      0.63           0.54388889     0.23455097     0.13610082     
4.33           -1.0977778     2.2133333      0.71888889     0.635          0.21509897     0.10919055     
4.34           -1.0577778     2.2044444      0.69666667     0.61833333     0.23053168     0.1225704      
4.35           -0.95555556    2.0355556      0.65666667     0.575          0.23727713     0.13221967     
4.36           -1             2.0355556      0.67222222     0.58833333     0.2179016      0.12518405     
4.37           -0.90222222    1.9111111      0.64888889     0.55666667     0.22979775     0.12412803     
4.38           -0.92          1.9644444      0.64666667     0.56111111     0.23311533     0.13053272     
